# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:     8.767284667    8.767322770    9.063732849
    1.282565130    7.101312801    7.101353412    3.564367976
    1.302605210    7.155108385    7.155149392    3.568894787
    1.322645291    7.211767804    7.211809219    3.573516066
    1.342685371    7.271558488    7.271600326    3.578233206
    1.362725451    7.334787438    7.334829713    3.583047650
    1.382765531    7.401807905    7.401850630    3.587960892
    1.402805611    7.473026498    7.473069687    3.592974473
    1.422845691    7.548909733    7.548953400    3.598089993
    1.442885772    7.629987660    7.630031820    3.603309104
    1.462925852    7.716849252    7.716893916    3.608633519
    1.482965932    7.810117856    7.810163038    3.614065010
    1.503006012    7.910381250    7.910426963    3.619605414
    1.523046092    8.018020792    8.018067052    3.625256635
    1.543086172    8.132819159    8.132865987    3.631020645
    1.563126253    8.253090002    8.253137436    3.636899490
    1.583166333    8.373818145    8.373866260    3.642895294
    1.603206413    8.482992133    8.483041081    3.649010258
    1.623246493    8.555825934    8.555876025    3.655246670
    1.643286573    8.551706505    8.551758302    3.661606905
    1.663326653    8.433878770    8.433933067    3.668093433
    1.683366733    8.229313878    8.229371318    3.674708818
    1.703406814    8.051368966    8.051429529    3.681455732
    1.723446894    7.995761346    7.995824456    3.688336953
    1.743486974    8.066058829    8.066123904    3.695355373
    1.763527054    8.220800037    8.220866760    3.702514009
    1.783567134    8.424159925    8.424228204    3.709816003
    1.803607214    8.656186292    8.656256148    3.717264635
    1.823647295    8.907135576    8.907207050    3.724863329
    1.843687375    9.170590793    9.170663838    3.732615661
    1.863727455    9.436946761    9.437021076    3.740525372
    1.883767535    9.684659661    9.684734377    3.748596374
    1.903807615    9.865602075    9.865675205    3.756832766
    1.923847695    9.884166540    9.884234401    3.765238844
    1.943887776    9.592329155    9.592387287    3.773819113
    1.963927856    8.878595947    8.878644655    3.782578307
    1.983967936    7.884920515    7.884971213    3.791521399
    2.004008016    7.022907569    7.022974377    3.800653626
    2.024048096    6.576821179    6.576907290    3.809980504
    2.044088176    6.515817054    6.515917628    3.819507850
    2.064128257    6.687668182    6.687778167    3.829241810
    2.084168337    6.972553402    6.972669930    3.839188884
    2.104208417    7.305265447    7.305387321    3.849355956
    2.124248497    7.655644796    7.655771637    3.859750330
    2.144288577    8.010494433    8.010626014    3.870379766
    2.164328657    8.362237396    8.362372995    3.881252523
    2.184368737    8.700800366    8.700937842    3.892377411
    2.204408818    9.005251258    9.005385645    3.903763841
    2.224448898    9.235419398    9.235541876    3.915421894
    2.244488978    9.337235814    9.337337381    3.927362388
    2.264529058    9.294924080    9.295009161    3.939596964
    2.284569138    9.207385066    9.207478914    3.952138178
    2.304609218    9.233738219    9.233863845    3.964999616
    2.324649299    9.440439304    9.440599746    3.978196017
    2.344689379    9.791857248    9.792046171    3.991743422
    2.364729459   10.229550108   10.229763039    4.005659347
    2.384769539   10.705670930   10.705907988    4.019962975
    2.404809619   11.175278236   11.175543730    4.034675373
    2.424849699   11.581880009   11.582180527    4.049819729
    2.444889780   11.861856779   11.862195259    4.065421574
    2.464929860   11.979406354   11.979775680    4.081508950
    2.484969940   11.949331351   11.949721136    4.098112373
    2.505010020   11.837780993   11.838187826    4.115264327
    2.525050100   11.745961874   11.746380877    4.132997627
    2.545090180   11.671381169   11.671785026    4.151341335
    2.565130261   11.454350293   11.454670448    4.170311543
    2.585170341   10.956468184   10.956611441    4.189892904
    2.605210421   10.208802322   10.208727918    4.210009382
    2.625250501    9.418565637    9.418329386    4.230504071
    2.645290581    8.845724512    8.845406765    4.251187724
    2.665330661    8.619032055    8.618655367    4.271940546
    2.685370741    8.677192765    8.676727929    4.292681242
    2.705410822    8.785367190    8.784759541    4.313470386
    2.725450902    8.671667753    8.670885346    4.335027266
    2.745490982    8.271376383    8.270500744    4.358464052
    2.765531062    7.739386907    7.738572025    4.384108321
    2.785571142    7.102798368    7.102092998    4.411286146
    2.805611222    6.181762452    6.181092588    4.439146123
    2.825651303    4.959377169    4.958652370    4.467704738
    2.845691383    3.725393279    3.724574296    4.498273034
    2.865731463    2.725422103    2.724512805    4.532174151
    2.885771543    1.935575151    1.934605207    4.569476165
    2.905811623    1.264370236    1.263403258    4.609240133
    2.925851703    0.655220192    0.654289144    4.649834474
    2.945891784    0.036672835    0.035833210    4.688660320
    2.965931864   -0.522919817   -0.523505421    4.722171308
    2.985971944   -0.828549644   -0.828816143    4.747018353
    3.006012024   -0.852877542   -0.852931310    4.760245942
    3.026052104   -0.759475142   -0.759434395    4.758269714
    3.046092184   -0.681219526   -0.681138575    4.743383617
    3.066132265   -0.605743243   -0.605633777    4.729486416
    3.086172345   -0.460498240   -0.460357421    4.729705792
    3.106212425   -0.212826032   -0.212640024    4.748389325
    3.126252505    0.119861184    0.120094405    4.785708030
    3.146292585    0.482948614    0.483188338    4.837538737
    3.166332665    0.817907062    0.818116187    4.894322410
    3.186372745    1.105318291    1.105493507    4.943082287
    3.206412826    1.335236541    1.335388762    4.971146990
    3.226452906    1.483632863    1.483796712    4.970626689
    3.246492986    1.542196631    1.542400750    4.938335115
    3.266533066    1.550313527    1.550541374    4.877593662
    3.286573146    1.589315768    1.589520405    4.810133718
    3.306613226    1.717011340    1.717163499    4.771115328
    3.326653307    1.943570025    1.943693948    4.776676104
    3.346693387    2.242842089    2.242977657    4.815232532
    3.366733467    2.567593110    2.567742097    4.868483574
    3.386773547    2.880769988    2.880892379    4.920058840
    3.406813627    3.140106483    3.140153093    4.954072150
    3.426853707    3.253556061    3.253494837    4.962079486
    3.446893788    3.113690007    3.113515986    4.951655101
    3.466933868    2.736525291    2.736286960    4.938218453
    3.486973948    2.334263063    2.334062405    4.926343427
    3.507014028    2.137986046    2.137885802    4.906445410
    3.527054108    2.169603900    2.169572520    4.873079043
    3.547094188    2.265755187    2.265731685    4.834288977
    3.567134269    2.250335835    2.250322464    4.800056057
    3.587174349    2.067325613    2.067430258    4.775390948
    3.607214429    1.800427597    1.800734482    4.762390847
    3.627254509    1.591777900    1.592185775    4.756034360
    3.647294589    1.526931491    1.527279312    4.738354387
    3.667334669    1.582648682    1.582881017    4.698937790
    3.687374749    1.719587765    1.719731046    4.648524618
    3.707414830    1.935518677    1.935615285    4.601290726
    3.727454910    2.200563168    2.200645774    4.571074811
    3.747494990    2.435058837    2.435157388    4.568721691
    3.767535070    2.530935127    2.531094364    4.587955129
    3.787575150    2.346467968    2.346743788    4.616025955
    3.807615230    1.800258913    1.800657619    4.648432542
    3.827655311    1.071894673    1.072349966    4.683043217
    3.847695391    0.502558192    0.503043224    4.718158472
    3.867735471    0.232444717    0.233013330    4.757862121
    3.887775551    0.192918245    0.193568145    4.810362813
    3.907815631    0.323266066    0.323851268    4.879093065
    3.927855711    0.602557645    0.602938878    4.956564616
    3.947895792    0.975844187    0.976018647    5.030717437
    3.967935872    1.349913336    1.349940392    5.091474909
    3.987975952    1.637898348    1.637822783    5.128957356
    4.008016032    1.796013105    1.795865065    5.133997848
    4.028056112    1.817944150    1.817757446    5.102845412
    4.048096192    1.707920256    1.707756404    5.046909777
    4.068136273    1.495550770    1.495505933    5.000743466
    4.088176353    1.235100408    1.235235734    4.992977309
    4.108216433    0.990984252    0.991246863    5.020088248
    4.128256513    0.850238527    0.850496631    5.065828343
    4.148296593    0.875770129    0.875956998    5.123369906
    4.168336673    1.052982204    1.053133016    5.199946409
    4.188376754    1.309770759    1.309942468    5.305174035
    4.208416834    1.553226625    1.553451712    5.434916123
    4.228456914    1.704372159    1.704654791    5.573751059
    4.248496994    1.744220564    1.744536582    5.704351543
    4.268537074    1.738586976    1.738906111    5.815008975
    4.288577154    1.779744908    1.780044292    5.909124703
    4.308617234    1.904175490    1.904446204    6.004683894
    4.328657315    2.077989847    2.078238213    6.116758621
    4.348697395    2.211474862    2.211700518    6.248228386
    4.368737475    2.178657343    2.178864983    6.392933218
    4.388777555    1.893346963    1.893583450    6.542367584
    4.408817635    1.352103492    1.352402998    6.688157645
    4.428857715    0.629653531    0.629924785    6.816606500
    4.448897796   -0.068237017   -0.068169614    6.910917626
    4.468937876   -0.518327888   -0.518549290    6.962469617
    4.488977956   -0.681598547   -0.682003293    6.970893173
    4.509018036   -0.649536629   -0.649918237    6.944404652
    4.529058116   -0.502598100   -0.502818688    6.908742626
    4.549098196   -0.288976570   -0.289005840    6.897454509
    4.569138277   -0.074953059   -0.074810818    6.908294703
    4.589178357    0.057690264    0.057961840    6.887921362
    4.609218437    0.088114301    0.088416349    6.795306417
    4.629258517    0.084042899    0.084260551    6.670501152
    4.649298597    0.103813431    0.103921938    6.592660432
    4.669338677    0.158174682    0.158227531    6.575159885
    4.689378758    0.244146363    0.244187144    6.564356066
    4.709418838    0.312671202    0.312710761    6.518777944
    4.729458918    0.282042149    0.282079671    6.445203908
    4.749498998    0.146446133    0.146482062    6.363380962
    4.769539078    0.011349805    0.011402514    6.266026734
    4.789579158   -0.023655657   -0.023570460    6.133465878
    4.809619238    0.043641516    0.043737849    5.981498855
    4.829659319    0.149342327    0.149431597    5.884785967
    4.849699399    0.231909896    0.232021332    5.906395920
    4.869739479    0.268686175    0.268864340    6.037554999
    4.889779559    0.268824328    0.269074096    6.229928400
    4.909819639    0.267740130    0.268029836    6.415924666
    4.929859719    0.311226570    0.311521950    6.534058468
    4.949899800    0.428200054    0.428450827    6.581649996
    4.969939880    0.612277624    0.612423688    6.603350378
    4.989979960    0.803497820    0.803501895    6.608574610
    5.010020040    0.905634021    0.905470832    6.538076108
    5.030060120    0.831681293    0.831355832    6.343372038
    5.050100200    0.561170149    0.560763280    6.064903764
    5.070140281    0.198864583    0.198496450    5.779838198
    5.090180361   -0.078946058   -0.079198932    5.553526593
    5.110220441   -0.191554786   -0.191687373    5.447879191
    5.130260521   -0.205963209   -0.206017771    5.456712650
    5.150300601   -0.220356850   -0.220375851    5.489260225
    5.170340681   -0.275362605   -0.275368461    5.482783653
    5.190380762   -0.385566299   -0.385579901    5.465494747
    5.210420842   -0.551981720   -0.552015906    5.462903716
    5.230460922   -0.724724712   -0.724766088    5.426386916
    5.250501002   -0.844082364   -0.844115193    5.280764591
    5.270541082   -0.904110743   -0.904112865    5.024585484
    5.290581162   -0.936645582   -0.936594373    4.779615199
    5.310621242   -0.951697334   -0.951604765    4.639356249
    5.330661323   -0.904841727   -0.904752296    4.525182171
    5.350701403   -0.753860969   -0.753804560    4.309200123
    5.370741483   -0.518239878   -0.518216026    3.982411231
    5.390781563   -0.257030412   -0.257029994    3.625350874
    5.410821643   -0.029745831   -0.029763144    3.247721474
    5.430861723    0.123328946    0.123294882    2.820345893
    5.450901804    0.188132704    0.188072699    2.406488272
    5.470941884    0.183772341    0.183677253    2.091607198
    5.490981964    0.168730147    0.168614884    1.851397210
    5.511022044    0.194757366    0.194637884    1.601674118
    5.531062124    0.245686573    0.245542602    1.333807910
    5.551102204    0.272112126    0.271910580    1.069982335
    5.571142285    0.271977933    0.271741283    0.802464416
    5.591182365    0.292303137    0.292103867    0.541575208
    5.611222445    0.355263310    0.355133446    0.277382190
    5.631262525    0.419860139    0.419778942   -0.067048713
    5.651302605    0.420709767    0.420650011   -0.521858524
    5.671342685    0.343126227    0.343077739   -1.021787320
    5.691382766    0.246975073    0.246933518   -1.505514745
    5.711422846    0.196782823    0.196733615   -1.954943130
    5.731462926    0.201038047    0.200975994   -2.325075986
    5.751503006    0.226057646    0.226009787   -2.519811661
    5.771543086    0.239480115    0.239466767   -2.483927281
    5.791583166    0.222735616    0.222745660   -2.282261986
    5.811623246    0.152032708    0.152055981   -2.042336504
    5.831663327    0.012322017    0.012350054   -1.842849539
    5.851703407   -0.148200054   -0.148188025   -1.678010287
    5.871743487   -0.239317895   -0.239340251   -1.514248629
    5.891783567   -0.232854146   -0.232905281   -1.332614350
    5.911823647   -0.188831089   -0.188887675   -1.137260246
    5.931863727   -0.184437869   -0.184494815   -0.949371321
    5.951903808   -0.245609193   -0.245704426   -0.797782317
    5.971943888   -0.345657357   -0.345828609   -0.708785192
    5.991983968   -0.442974470   -0.443196201   -0.683177368
    6.012024048   -0.490634275   -0.490837738   -0.710818594
    6.032064128   -0.460203813   -0.460351091   -0.780457502
    6.052104208   -0.371029202   -0.371129621   -0.871729808
    6.072144289   -0.278070475   -0.278144285   -0.940769863
    6.092184369   -0.239081043   -0.239146219   -0.923758660
